dosef,energy,natom,mass,fmax,smax,hform,volume,gap_nosoc,gap
0.0,-12.9367558,3,260.878,0.006251592,9.94e-05,-0.101251934,218.2476895,1.060023726,1.045299664
0.0,-13.93478818,3,171.97,0.009808697,0.000198352,-0.30059606,195.1672381,1.183699598,1.181257204
0.0,-12.30934479,3,354.87894,0.006747259,0.000106231,0.036551737,250.0543411,1.061399947,1.022354087
0.0,-9.617543731,3,278.518,0.003222954,2.59e-05,-0.797181244,305.5154936,2.168302317,2.096872147
0.0,-10.59861227,3,189.61,0.005179719,7.55e-05,-0.990870758,285.9155851,2.374210741,2.323855177
0.0,-8.628690316,3,372.51894,0.003408961,3.79e-05,-0.538896772,338.9388433,2.043299014,1.83661838
0.0,-14.28309357,3,210.7495,0.00567969,9.75e-05,-0.86303119,227.4503899,1.252688254,1.251545631
0.0,-15.6148868,3,121.8415,0.008259441,0.000192823,-1.173628934,204.3674354,1.353753748,1.353733361
0.0,-12.95199007,3,304.75044,0.007920462,9.72e-05,-0.490663358,267.3179414,1.210201631,1.203522146
0.0,-5.615259137,3,319.18894,0.001884108,4.93e-05,-0.491753046,265.7378506,2.057025323,1.749002181
0.0,-6.44105486,3,272.222,0.009219018,9.09e-05,-0.78135162,245.0964704,2.556781117,2.368673574
0.0,-5.297782045,3,366.22294,0.002043107,7.55e-05,-0.471594015,286.9748112,1.894156374,1.490086993
0.0,-15.69619069,3,249.39,0.004020476,6.19e-05,-1.540063565,179.3449102,1.009026805,0.908001551
0.0,-5.233056432,3,360.4,0.001796407,5.74e-05,-0.392685477,253.7998291,1.782665177,1.573188327
0.0,-6.033661507,3,271.492,0.002666311,4.84e-05,-0.526220502,229.4406689,2.140092436,2.083546991
0.0,-9.578251681,3,367.008,0.004862943,4.18e-05,-0.883083894,300.2638288,3.188414594,2.274864553
0.0,-8.558619376,3,461.00894,0.008154883,8.48e-05,-0.614539792,334.657508,2.645474586,1.577068554
0.0,-9.360405395,3,278.518,0.00504111,8.98e-05,-0.711468465,288.0545122,2.607001757,2.499415372
0.0,-8.373765652,3,372.51894,0.000398022,4.5e-05,-0.453921884,321.8634159,2.158931363,1.925838218
0.0,-14.8708223,3,118.767,0.000505114,0.000376758,-1.536940768,169.2064222,0.921543369,0.902542735
0.0,-6.376260853,3,225.188,0.007698727,9.97e-05,-0.674086951,215.7749314,2.60641164,2.41067351
0.0,-5.074729584,3,319.18894,0.002619955,3.49e-05,-0.311576528,259.1854633,1.3122181,0.897591708
